id,name,avrdude_id,vendor,class,family,signature,flash_size,flash_page_size,flash_paged,eeprom_size,eeprom_page_size,chip_erase_delay_us,fuse_count,lock_mask,progisp_match,microchip_atdf_match,metadata_status,qt_backend_status,blockers
at90can128,AT90CAN128,c128,Microchip/Atmel,avr,AT90,1E9781,131072,256,True,4096,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
at90can32,AT90CAN32,c32,Microchip/Atmel,avr,AT90,1E9581,32768,256,True,1024,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
at90can64,AT90CAN64,c64,Microchip/Atmel,avr,AT90,1E9681,65536,256,True,2048,8,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
at90pwm1,AT90PWM1,pwm1,Microchip/Atmel,avr,AT90,1E9383,8192,64,True,512,4,9000,3,63,False,False,avrdude-selected,supported,
at90pwm161,AT90PWM161,pwm161,Microchip/Atmel,avr,AT90,1E948B,16384,128,True,512,4,9000,3,63,False,False,avrdude-selected,supported,
at90pwm2,AT90PWM2,pwm2,Microchip/Atmel,avr,AT90,1E9381,8192,64,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
at90pwm216,AT90PWM216,pwm216,Microchip/Atmel,avr,AT90,1E9483,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-disagrees,supported,
at90pwm2b,AT90PWM2B,pwm2b,Microchip/Atmel,avr,AT90,1E9383,8192,64,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
at90pwm3,AT90PWM3,pwm3,Microchip/Atmel,avr,AT90,1E9381,8192,64,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
at90pwm316,AT90PWM316,pwm316,Microchip/Atmel,avr,AT90,1E9483,16384,128,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-disagrees,supported,
at90pwm3b,AT90PWM3B,pwm3b,Microchip/Atmel,avr,AT90,1E9383,8192,64,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
at90pwm81,AT90PWM81,pwm81,Microchip/Atmel,avr,AT90,1E9388,8192,64,True,512,4,9000,3,63,True,False,avrdude-selected+progisp-agrees,supported,
