name,signature,sourced_page_size,heuristic_page_size,metadata_status
AT90CAN32,1E9581,256,128,avrdude-selected+progisp-agrees
AT90USB82,1E9382,128,64,avrdude-selected+progisp-agrees
ATA6616C,1E9387,128,64,avrdude-selected
ATmega2560,1E9801,256,64,avrdude-selected+progisp-agrees
ATmega2561,1E9802,256,64,avrdude-selected+progisp-agrees
ATmega2564RFR2,1EA803,256,64,avrdude-selected
ATmega256RFR2,1EA802,256,64,avrdude-selected
ATmega64HVE2,1E9610,128,256,avrdude-selected
ATmega8HVA,1E9310,128,64,avrdude-selected+progisp-agrees
ATmega8U2,1E9389,128,64,avrdude-selected+progisp-agrees
ATtiny1634,1E9412,32,128,avrdude-selected
ATtiny1634R,1E9412,32,128,avrdude-selected
ATtiny441,1E9215,16,64,avrdude-selected
ATtiny841,1E9315,16,64,avrdude-selected
ATtiny87,1E9387,128,64,avrdude-selected
