signature,count,names,app_ready_count,risk
1E9007,2,ATtiny13 | ATtiny13A,2,manual exact-part selection required before fuse or lock writes
1E910A,2,ATtiny2313 | ATtiny2313A,2,manual exact-part selection required before fuse or lock writes
1E910B,2,ATtiny24 | ATtiny24A,2,manual exact-part selection required before fuse or lock writes
1E910C,2,ATtiny261 | ATtiny261A,2,manual exact-part selection required before fuse or lock writes
1E9205,2,ATmega48 | ATmega48A,2,manual exact-part selection required before fuse or lock writes
1E9207,2,ATtiny44 | ATtiny44A,2,manual exact-part selection required before fuse or lock writes
1E9208,2,ATtiny461 | ATtiny461A,2,manual exact-part selection required before fuse or lock writes
1E920A,2,ATmega48P | ATmega48PA,2,manual exact-part selection required before fuse or lock writes
1E9307,2,ATmega8 | ATmega8A,2,manual exact-part selection required before fuse or lock writes
1E930A,3,ATA6612C | ATmega88 | ATmega88A,3,manual exact-part selection required before fuse or lock writes
1E930C,2,ATtiny84 | ATtiny84A,2,manual exact-part selection required before fuse or lock writes
1E930D,2,ATtiny861 | ATtiny861A,2,manual exact-part selection required before fuse or lock writes
1E930F,3,ATmega88P | ATmega88PA | LGT8F88P,2,manual exact-part selection required before fuse or lock writes
1E9314,2,ATtiny828 | ATtiny828R,2,manual exact-part selection required before fuse or lock writes
1E9381,2,AT90PWM2 | AT90PWM3,2,manual exact-part selection required before fuse or lock writes
1E9383,3,AT90PWM1 | AT90PWM2B | AT90PWM3B,3,manual exact-part selection required before fuse or lock writes
1E9387,2,ATA6616C | ATtiny87,2,manual exact-part selection required before fuse or lock writes
1E9403,2,ATmega16 | ATmega16A,2,manual exact-part selection required before fuse or lock writes
1E9405,3,ATmega169 | ATmega169P | ATmega169PA,3,manual exact-part selection required before fuse or lock writes
1E9406,3,ATA6613C | ATmega168 | ATmega168A,3,manual exact-part selection required before fuse or lock writes
1E9407,3,ATmega165 | ATmega165P | ATmega165PA,3,manual exact-part selection required before fuse or lock writes
1E940A,2,ATmega164P | ATmega164PA,2,manual exact-part selection required before fuse or lock writes
1E940B,3,ATmega168P | ATmega168PA | LGT8F168P,2,manual exact-part selection required before fuse or lock writes
1E940D,2,ATmega16HVB | ATmega16HVBrevB,2,manual exact-part selection required before fuse or lock writes
1E9412,2,ATtiny1634 | ATtiny1634R,2,manual exact-part selection required before fuse or lock writes
1E9483,2,AT90PWM216 | AT90PWM316,2,manual exact-part selection required before fuse or lock writes
1E9487,4,ATA5505 | ATA6617C | ATA664251 | ATtiny167,4,manual exact-part selection required before fuse or lock writes
1E9502,2,ATmega32 | ATmega32A,2,manual exact-part selection required before fuse or lock writes
1E9503,2,ATmega329 | ATmega329A,2,manual exact-part selection required before fuse or lock writes
1E9504,2,ATmega3290 | ATmega3290A,2,manual exact-part selection required before fuse or lock writes
1E9505,2,ATmega325 | ATmega325A,2,manual exact-part selection required before fuse or lock writes
1E9506,2,ATmega3250 | ATmega3250A,2,manual exact-part selection required before fuse or lock writes
1E950B,2,ATmega329P | ATmega329PA,2,manual exact-part selection required before fuse or lock writes
1E950C,2,ATmega3290P | ATmega3290PA,2,manual exact-part selection required before fuse or lock writes
1E950D,2,ATmega325P | ATmega325PA,2,manual exact-part selection required before fuse or lock writes
1E950E,2,ATmega3250P | ATmega3250PA,2,manual exact-part selection required before fuse or lock writes
1E950F,3,ATA6614Q | ATmega328P | LGT8F328P,2,manual exact-part selection required before fuse or lock writes
1E9510,2,ATmega32HVB | ATmega32HVBrevB,2,manual exact-part selection required before fuse or lock writes
1E9602,2,ATmega64 | ATmega64A,2,manual exact-part selection required before fuse or lock writes
1E9603,2,ATmega649 | ATmega649A,2,manual exact-part selection required before fuse or lock writes
1E9604,2,ATmega6490 | ATmega6490A,2,manual exact-part selection required before fuse or lock writes
1E9605,2,ATmega645 | ATmega645A,2,manual exact-part selection required before fuse or lock writes
1E9606,2,ATmega6450 | ATmega6450A,2,manual exact-part selection required before fuse or lock writes
1E9609,2,ATmega644 | ATmega644A,2,manual exact-part selection required before fuse or lock writes
1E960A,2,ATmega644P | ATmega644PA,2,manual exact-part selection required before fuse or lock writes
1E9682,2,AT90USB646 | AT90USB647,2,manual exact-part selection required before fuse or lock writes
1E9684,2,ATmega64M1 | ATmegaS64M1,2,manual exact-part selection required before fuse or lock writes
1E9702,3,ATmega128 | ATmega128A | ATmegaS128,3,manual exact-part selection required before fuse or lock writes
1E9782,2,AT90USB1286 | AT90USB1287,2,manual exact-part selection required before fuse or lock writes
