name,class,signature,capacity_code,flash_size,flash_guess,flash_match,page_size,page_guess,page_match
AT90CAN128,avr,1E9781,7,131072,131072,True,256,256,True
AT90CAN32,avr,1E9581,5,32768,32768,True,256,128,False
AT90CAN64,avr,1E9681,6,65536,65536,True,256,256,True
AT90PWM1,avr,1E9383,3,8192,8192,True,64,64,True
AT90PWM161,avr,1E948B,4,16384,16384,True,128,128,True
AT90PWM2,avr,1E9381,3,8192,8192,True,64,64,True
AT90PWM216,avr,1E9483,4,16384,16384,True,128,128,True
AT90PWM2B,avr,1E9383,3,8192,8192,True,64,64,True
AT90PWM3,avr,1E9381,3,8192,8192,True,64,64,True
AT90PWM316,avr,1E9483,4,16384,16384,True,128,128,True
AT90PWM3B,avr,1E9383,3,8192,8192,True,64,64,True
AT90PWM81,avr,1E9388,3,8192,8192,True,64,64,True
AT90S1200,avr,1E9001,0,1024,1024,True,,32,
AT90S2313,avr,1E9101,1,2048,2048,True,,32,
AT90S2323,avr,1E9102,1,2048,2048,True,,32,
AT90S2333,avr,1E9105,1,2048,2048,True,,32,
AT90S2343,avr,1E9103,1,2048,2048,True,,32,
AT90S4414,avr,1E9201,2,4096,4096,True,,64,
AT90S4433,avr,1E9203,2,4096,4096,True,,64,
AT90S4434,avr,1E9202,2,4096,4096,True,,64,
AT90S8515,avr,1E9301,3,8192,8192,True,,64,
AT90S8535,avr,1E9303,3,8192,8192,True,,64,
AT90USB1286,avr,1E9782,7,131072,131072,True,256,256,True
AT90USB1287,avr,1E9782,7,131072,131072,True,256,256,True
AT90USB162,avr,1E9482,4,16384,16384,True,128,128,True
AT90USB646,avr,1E9682,6,65536,65536,True,256,256,True
AT90USB647,avr,1E9682,6,65536,65536,True,256,256,True
AT90USB82,avr,1E9382,3,8192,8192,True,128,64,False
ATA5505,avr,1E9487,4,16384,16384,True,128,128,True
ATA6612C,avr,1E930A,3,8192,8192,True,64,64,True
ATA6613C,avr,1E9406,4,16384,16384,True,128,128,True
ATA6614Q,avr,1E950F,5,32768,32768,True,128,128,True
ATA6616C,avr,1E9387,3,8192,8192,True,128,64,False
ATA6617C,avr,1E9487,4,16384,16384,True,128,128,True
ATA664251,avr,1E9487,4,16384,16384,True,128,128,True
ATmega103,avr,1E9701,7,131072,131072,True,256,256,True
ATmega128,avr,1E9702,7,131072,131072,True,256,256,True
ATmega1280,avr,1E9703,7,131072,131072,True,256,256,True
ATmega1281,avr,1E9704,7,131072,131072,True,256,256,True
ATmega1284,avr,1E9706,7,131072,131072,True,256,256,True
ATmega1284P,avr,1E9705,7,131072,131072,True,256,256,True
ATmega1284RFR2,avr,1EA703,7,131072,131072,True,256,256,True
ATmega128A,avr,1E9702,7,131072,131072,True,256,256,True
ATmega128RFA1,avr,1EA701,7,131072,131072,True,256,256,True
ATmega128RFR2,avr,1EA702,7,131072,131072,True,256,256,True
ATmega16,avr,1E9403,4,16384,16384,True,128,128,True
ATmega161,avr,1E9401,4,16384,16384,True,128,128,True
ATmega162,avr,1E9404,4,16384,16384,True,128,128,True
ATmega163,avr,1E9402,4,16384,16384,True,128,128,True
ATmega164A,avr,1E940F,4,16384,16384,True,128,128,True
ATmega164P,avr,1E940A,4,16384,16384,True,128,128,True
ATmega164PA,avr,1E940A,4,16384,16384,True,128,128,True
ATmega165,avr,1E9407,4,16384,16384,True,128,128,True
ATmega165A,avr,1E9410,4,16384,16384,True,128,128,True
