name,signature,avrdude,progisp,microchip_atdf,signature_flash_check,signature_page_check,app_ready
AT90CAN128,1E9781,True,True,False,True,True,True
AT90CAN32,1E9581,True,True,False,True,False,True
AT90CAN64,1E9681,True,True,False,True,True,True
AT90PWM1,1E9383,True,False,False,True,True,True
AT90PWM161,1E948B,True,False,False,True,True,True
AT90PWM2,1E9381,True,True,False,True,True,True
AT90PWM216,1E9483,True,True,False,True,True,True
AT90PWM2B,1E9383,True,True,False,True,True,True
AT90PWM3,1E9381,True,True,False,True,True,True
AT90PWM316,1E9483,True,True,False,True,True,True
AT90PWM3B,1E9383,True,True,False,True,True,True
AT90PWM81,1E9388,True,True,False,True,True,True
AT90S1200,1E9001,True,True,False,True,,False
AT90S2313,1E9101,True,True,False,True,,False
AT90S2323,1E9102,True,True,False,True,,False
AT90S2333,1E9105,True,False,False,True,,False
AT90S2343,1E9103,True,True,False,True,,False
AT90S4414,1E9201,True,True,False,True,,False
AT90S4433,1E9203,True,True,False,True,,False
AT90S4434,1E9202,True,True,False,True,,False
AT90S8515,1E9301,True,True,False,True,,False
AT90S8535,1E9303,True,True,False,True,,False
AT90USB1286,1E9782,True,True,False,True,True,True
AT90USB1287,1E9782,True,True,False,True,True,True
AT90USB162,1E9482,True,True,False,True,True,True
AT90USB646,1E9682,True,True,False,True,True,True
AT90USB647,1E9682,True,True,False,True,True,True
AT90USB82,1E9382,True,True,False,True,False,True
ATA5505,1E9487,True,False,False,True,True,True
ATA6612C,1E930A,True,True,False,True,True,True
ATA6613C,1E9406,True,True,False,True,True,True
ATA6614Q,1E950F,True,False,False,True,True,True
ATA6616C,1E9387,True,False,False,True,False,True
ATA6617C,1E9487,True,False,False,True,True,True
ATA664251,1E9487,True,False,False,True,True,True
ATmega103,1E9701,True,True,False,True,True,False
ATmega128,1E9702,True,True,False,True,True,True
ATmega1280,1E9703,True,True,False,True,True,True
ATmega1281,1E9704,True,True,False,True,True,True
ATmega1284,1E9706,True,False,False,True,True,True
ATmega1284P,1E9705,True,True,False,True,True,True
ATmega1284RFR2,1EA703,True,False,False,True,True,True
ATmega128A,1E9702,True,True,False,True,True,True
ATmega128RFA1,1EA701,True,True,False,True,True,True
ATmega128RFR2,1EA702,True,False,False,True,True,True
ATmega16,1E9403,True,True,False,True,True,True
ATmega161,1E9401,True,True,False,True,True,False
ATmega162,1E9404,True,True,False,True,True,True
ATmega163,1E9402,True,True,False,True,True,False
ATmega164A,1E940F,True,False,False,True,True,True
ATmega164P,1E940A,True,True,False,True,True,True
ATmega164PA,1E940A,True,True,False,True,True,True
ATmega165,1E9407,True,True,False,True,True,True
ATmega165A,1E9410,True,False,False,True,True,True
ATmega165P,1E9407,True,True,False,True,True,True
ATmega165PA,1E9407,True,False,False,True,True,True
ATmega168,1E9406,True,True,False,True,True,True
ATmega168A,1E9406,True,True,False,True,True,True
ATmega168P,1E940B,True,True,False,True,True,True
ATmega168PA,1E940B,True,True,False,True,True,True
ATmega168PB,1E9415,True,False,False,True,True,True
ATmega169,1E9405,True,True,False,True,True,True
ATmega169A,1E9411,True,False,False,True,True,True
ATmega169P,1E9405,True,True,False,True,True,True
ATmega169PA,1E9405,True,False,False,True,True,True
ATmega16A,1E9403,True,True,False,True,True,True
ATmega16HVA,1E940C,True,True,False,True,True,True
ATmega16HVB,1E940D,True,True,False,True,True,True
ATmega16HVBrevB,1E940D,True,False,False,True,True,True
ATmega16M1,1E9484,True,True,False,True,True,True
ATmega16U2,1E9489,True,True,False,True,True,True
